Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,Talk time_1,SAR EU,Music play,SAR,Browser,Keyboard,Build,Triple,Dual,32GB 3GB RAM,Quad,64GB 4GB RAM,128GB 4GB RAM,128GB 6GB RAM,32GB 2GB RAM,16GB 2GB RAM,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Alert types,Clock,Alarm,Languages
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel Go Flip V',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flipv.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 1900',,,"b'2019, July 11'","b'Available. Released 2019, July 11'",b'104.9 x 52.8 x 18.7 mm (4.13 x 2.08 x 0.74 in)',b'118 g (4.16 oz)',b'Nano-SIM',"b'Second external TN TFT display, 1.44 inches, 128 x 128 pixels'",b'TN TFT',"b'2.8 inches, 24.3 cm2 (~43.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'KaiOS 2.5',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',b'2 MP',b'720p@30fps',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'",b'No',b'No',b'FM radio',b'microUSB 2.0',b'',"b'Li-Ion 1350 mAh, removable'",,b'Black',b'About 80 EUR',b'HSDPA 850 / 1700(AWS) / 1900',"b'2, 4, 5, 13'","b'HSPA, LTE'",b'Adreno 304',,b'',,,,,,,,,,,,,,,,b'1.08 W/kg (head) \xc2\xa0 \xc2\xa0 1.32 W/kg (body)',,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 3X (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2020.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, June'","b'Available. Released 2020, June'",b'165 x 75 x 9.1 mm (6.50 x 2.95 x 0.36 in)',b'186 g (6.56 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~82.9% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 10',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM'","b'8 MP, f/2.0, (wide), 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",,"b'Black, Blue'",b'\xe2\x82\xac\xe2\x80\x89169.99 / \xc2\xa3\xe2\x80\x89144.90',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'Dual-LED dual-tone flash, HDR, panorama'",,,,,,,,,,,,,b'5061U',,,,,,,"b'Glass front, plastic back, plastic frame'",,,,"b'16 MP, f/1.8, (wide), 1/2.8"", 1.12\xc2\xb5m, PDAF 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'\xe2\x82\xac\xe2\x80\x89169.99',b'\xc2\xa3\xe2\x80\x89212.43',b'\xe2\x82\xac\xe2\x80\x89186.43',,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 3L (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, January'","b'Available. Released 2020, May'",b'158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 10',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',"b'8 MP, f/2.0, (wide), 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,"b'Chameleon Blue, Dark Chrome, Agate Green'",b'\xe2\x82\xac\xe2\x80\x89121.68 / \xc2\xa3\xe2\x80\x8999.99',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'LED flash, HDR, panorama'",,b'HDR',,,,,,,,,,b'Charging 10W',"b'5029Y, 5029, 5029D'",,,,,,,"b'Glass front, plastic back, plastic frame'","b'48 MP, f/1.8, (wide), 1/2.25"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.4, (ultrawide/depth sensor), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'",,,,b'\xe2\x82\xac\xe2\x80\x89121.68',,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1S (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, January'","b'Available. Released 2020, May'",b'158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 10',b'Mediatek MT6762D Helio P22 (12 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',"b'5 MP, f/2.2, (wide), 1/5"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,"b'Agate Green, Power Grey'",b'$\xe2\x80\x89114.99 / \xe2\x82\xac\xe2\x80\x8992.90 / \xc2\xa3\xe2\x80\x8987.49',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'LED flash, HDR, panorama'",,,,,,,,,,,,,"b'5028Y, 5028D, 5028D_EEA'",,,,,,,"b'Glass front, plastic back, plastic frame'","b'13 MP, f/1.8, (wide), 1/3.1"", 1.12\xc2\xb5m, AF 5 MP, f/2.2, (ultrawide/depth sensor), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'",,b'$\xe2\x80\x89114.99',,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1V (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, January'","b'Available. Released 2020, May'",b'158.7 x 74.8 x 8.9 mm (6.25 x 2.94 x 0.35 in)',b'160 g (5.64 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5007G, 5007A'",b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~81.3% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 10',b'Mediatek MT6762D Helio P22 (12 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'32GB 2GB RAM',"b'5 MP, f/2.2, (wide), 1/5"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",,"b'Prime Black, Pine Green, Metallic Black, Agate Green'",b'$\xe2\x80\x8997.99 / \xe2\x82\xac\xe2\x80\x8979.90 / \xc2\xa3\xe2\x80\x8981.75',b'HSDPA 850 / 900 / 1900 / 2100 - 5007U',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5007U'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'LED flash, HDR, panorama'","b'2, 3, 4, 5, 7, 8, 13, 17, 28, 66 - 5007G, 5007A'",,b'eMMC 5.1',,,,,,,,,,"b'5007U, 5007G, 5007A'",,,,,,,"b'Glass front, plastic back, plastic frame'",,"b'13 MP, f/1.8, (wide), 1/3.1"", 1.12\xc2\xb5m, AF 5 MP, f/2.4, (depth)'",,,,,,b'$\xe2\x80\x8997.99',,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1B (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2020.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, January'","b'Available. Released 2020, May'",b'146.1 x 71.6 x 9.9 mm (5.75 x 2.82 x 0.39 in)',b'168 g (5.93 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.5 inches, 78.1 cm2 (~74.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'",b'Android 10 (Go edition)',b'Qualcomm QM215 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'microSDHC (dedicated slot)',b'16GB 2GB RAM',"b'13 MP, f/2.0, (wide), 1/4.0"", 1.12\xc2\xb5m, AF'",b'1080p@30fps',"b'5 MP, f/2.2, (wide), 1/5"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 3000 mAh battery',,"b'Prime Black, Pine Green'",b'$\xe2\x80\x8989.99 / \xe2\x82\xac\xe2\x80\x8973.54 / \xc2\xa3\xe2\x80\x8967.94',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'Adreno 308',"b'LED flash, HDR'",,,,,,,,,,,,,"b'5002A, 5002D, 5002F, 5002I, 5002M, 5002X'",,,,,,,"b'Glass front, plastic back, plastic frame'",,,,,,,,,b'$\xe2\x80\x8989.99',,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 3v (2019)',b'https://fdn2.gsmarena.com/vv/bigpic/alcatel-3v-2019.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',,,"b'2019, Q2'","b'Available. Released 2019, Q4'",b'174.5 x 83.3 x 8.4 mm (6.87 x 3.28 x 0.33 in)',b'197.9 g (6.98 oz)',b'Nano-SIM',b'eMMC 5.1',b'IPS LCD',"b'6.7 inches, 115.8 cm2 (~79.7% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~240 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',b'8 MP',b'1080p@30fps',,b'720p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,b'Elegant Black',b'About 170 EUR',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 25, 26, 41, 66, 71'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'LED flash, HDR, panorama'",,,,,,,,,,,b'DragonTrail Pro',b'Fast charging Pump Express+',b'5032W',,,,,,,"b'Glass front (DragonTrail Pro glass), plastic back, plastic frame'",,"b'16 MP, PDAF 5 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
